checking_status,duration,credit_amount,savings_status,employment,installment_commitment,residence_since,age,existing_credits,num_dependents,own_telephone,foreign_worker,class
0,24,2957,0,7,4,4,63,2,1,1,1,good
0,10,2132,0,0,2,3,27,2,1,0,0,good
0,24,1940,1000,7,4,4,60,1,1,1,1,good
0,24,937,0,0,4,3,27,2,1,0,1,good
0,48,10222,0,5.5,4,3,37,1,1,1,1,good
200,6,709,1000,0,2,2,27,1,1,0,0,good
0,12,640,0,2.5,4,2,49,1,1,0,1,good
0,27,3416,0,2.5,3,2,27,1,1,0,1,good
0,6,1204,300,2.5,4,1,35,1,1,0,0,good
0,27,5190,0,7,4,4,48,4,2,1,1,good
0,36,4686,0,2.5,2,2,32,1,1,1,1,good
0,6,1595,0,5.5,3,2,51,1,2,0,1,good
100,24,6967,300,5.5,4,4,36,1,1,1,1,good
0,12,2859,0,0,4,4,38,1,1,1,1,good
100,18,1795,0,7,3,4,48,2,1,1,1,good
0,24,2463,300,5.5,4,3,27,2,1,1,1,good
0,12,1255,0,7,4,4,61,2,1,0,1,good
100,30,3496,1000,2.5,4,2,34,1,2,1,1,good
0,18,2662,0,5.5,4,3,32,1,1,0,0,good
100,12,2366,750,5.5,3,3,36,1,1,1,1,good
200,12,3016,0,2.5,3,1,24,1,1,0,1,good
0,12,2577,0,2.5,2,1,42,1,1,0,1,good
0,15,2788,0,5.5,2,3,24,2,1,0,1,good
0,9,2697,0,2.5,1,2,32,1,2,0,1,good
100,20,7057,0,5.5,3,4,36,2,2,1,1,good
100,6,368,0,7,4,4,38,1,1,0,1,good
100,12,1995,300,0,4,1,27,1,1,0,1,good
0,24,6313,0,7,3,4,41,1,2,1,1,good
100,12,3617,0,7,1,4,28,3,1,1,1,good
0,42,7882,0,5.5,2,4,45,1,2,0,1,good
100,36,6948,0,2.5,2,2,35,1,1,1,1,good
0,48,10222,0,5.5,4,3,37,1,1,1,1,good
0,12,1240,0,7,4,2,38,2,1,1,1,good
0,15,1520,0,7,4,4,63,1,1,0,1,good
0,12,1542,0,5.5,2,4,36,1,1,1,1,good
0,18,3229,0,0,2,4,38,1,1,1,1,good
0,24,6579,0,0,4,2,29,1,1,1,1,good
100,7,2415,0,2.5,3,2,34,1,1,0,1,good
0,15,1478,0,2.5,4,3,33,2,1,0,1,good
0,12,640,0,2.5,4,2,49,1,1,0,1,good
0,30,6742,0,5.5,2,3,36,2,1,0,1,good
100,12,625,0,0,4,1,26,1,1,0,1,good
0,11,3939,0,2.5,1,2,40,2,2,0,1,good
100,12,3617,0,7,1,4,28,3,1,1,1,good
0,30,4272,300,2.5,2,2,26,2,1,0,1,good
0,10,1231,0,7,3,4,32,2,2,0,0,good
0,21,3160,0,7,4,3,41,1,1,1,1,good
0,6,1236,750,2.5,2,4,50,1,1,0,1,good
0,21,2476,0,7,4,4,46,1,1,1,1,good
0,12,2331,0,7,1,4,49,1,1,1,1,good
0,36,8133,0,2.5,1,2,30,1,1,0,1,good
